No,Nama,URL Asli,Likes,Done,Worker,Explanation
124,Ayam Karage,https://resepkoki.id/resep/resep-ayam-karage/,1203,No,,
125,Pecel Ayam,https://resepkoki.id/resep/resep-pecel-ayam/,1230,No,,
126,Galantin Daging Sapi,https://resepkoki.id/resep/resep-galantin-daging-sapi/,1358,No,,
127,Rendang Ayam,https://resepkoki.id/resep/resep-rendang-ayam/,1858,Yes,Garda,
128,Gulai Ayam Padang,https://resepkoki.id/resep/resep-gulai-ayam-padang/,1542,No,,
129,Ayam Taliwang,https://resepkoki.id/resep/resep-ayam-taliwang/,1286,No,,
130,Sambal Goreng Ati Ampela,https://resepkoki.id/resep/resep-sambal-goreng-ati-ampela/,1359,No,,
131,Ayam Nanking,https://resepkoki.id/resep/resep-ayam-nanking/,1323,No,,
132,Ayam Popcorn,https://resepkoki.id/resep/resep-ayam-popcorn/,1429,No,,
133,Sop Saudara,https://resepkoki.id/resep/resep-sop-saudara/,1374,No,,
134,Bistik Daging Sapi,https://resepkoki.id/resep/resep-bistik-daging-sapi/,2043,No,,
135,Tongseng Sapi,https://resepkoki.id/resep/resep-tongseng-sapi/,1714,No,,
136,Ayam Kuluyuk,https://resepkoki.id/resep/resep-ayam-kuluyuk/,1704,No,,
137,Rendang Daging Sapi (Asli Minang),https://resepkoki.id/resep/resep-rendang-daging-sapi-asli-minang/,1041,Yes,Aras,
138,Ayam Saus Tiram,https://resepkoki.id/resep/resep-ayam-saus-tiram/,1122,Yes,Aras,
139,Daging Sapi Paprika Lada Hitam,https://resepkoki.id/resep/resep-daging-sapi-paprika-lada-hitam/,1733,Yes,Aras,
140,Rolade Daging Sapi,https://resepkoki.id/resep/resep-rolade-daging-sapi/,1747,No,,
141,Siomay Ayam Udang Dimsum,https://resepkoki.id/resep/resep-siomay-ayam-udang-dimsum/,2027,Yes,Aras,
142,Terik Daging Tahu Tempe,https://resepkoki.id/resep/resep-terik-daging-tahu-tempe/,1075,No,,
143,Bistik Ayam,https://resepkoki.id/resep/resep-bistik-ayam/,1139,No,,
144,Seblak Ceker,https://resepkoki.id/resep/resep-seblak-ceker/,1355,No,,
145,Brongkos,https://resepkoki.id/resep/resep-brongkos/,1118,No,,
146,Ayam Pop,https://resepkoki.id/resep/resep-ayam-pop/,1423,Yes,Aras,
147,Abon Sapi,https://resepkoki.id/resep/resep-abon-sapi/,1217,No,,
148,Ayam Nasu Palekko,https://resepkoki.id/resep/resep-ayam-nasu-palekko/,1205,No,,
149,Steak Ayam Brown Sauce ( Chicken Steak ),https://resepkoki.id/resep/resep-ayam-chicken-steak-brown-sauce/,1390,No,,
150,Dendeng Balado,https://resepkoki.id/resep/resep-dendeng-balado/,1482,No,,
151,Ayam Balado,https://resepkoki.id/resep/resep-ayam-balado/,1445,Yes,Aras,
152,Semur Daging Sapi,https://resepkoki.id/resep/resep-semur-daging-sapi/,1541,No,,
153,Tongseng Ayam,https://resepkoki.id/resep/resep-tongseng-ayam/,1689,No,,
154,Ceker Ayam Pedas,https://resepkoki.id/resep/resep-ceker-ayam-pedas/,1658,No,,
155,Ayam Goreng Kecap,https://resepkoki.id/resep/resep-ayam-goreng-kecap/,1793,Yes,Aras,
156,Beef Daging Teriyaki,https://resepkoki.id/resep/resep-beef-daging-teriyaki/,1533,No,,
157,Chicken Katsu,https://resepkoki.id/resep/resep-chicken-katsu/,2020,Yes,Christina,
158,Ayam Suwir Pedas Bali,https://resepkoki.id/resep/resep-ayam-suwir-pedas-bali/,1625,No,,
159,Ayam Bakar Madu,https://resepkoki.id/resep/resep-ayam-bakar-madu/,1054,No,,
160,Ayam Kecap Padang,https://resepkoki.id/resep/resep-ayam-kecap-padang/,1083,No,,
161,Sate Taichan,https://resepkoki.id/resep/resep-sate-taichan/,1164,Yes,Christina,
162,Semur Ayam,https://resepkoki.id/resep/resep-semur-ayam/,1579,No,,
163,Rawon,https://resepkoki.id/resep/resep-rawon/,1068,Yes,Santa,
164,Ayam Rica-Rica,https://resepkoki.id/resep/resep-ayam-rica-rica/,1545,Yes,Santa,
